City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,-1.15,100,75,0.0,CA,1682483413
1,badarpur,24.9,92.6,35.58,27,16,1.85,IN,1682483643
2,urengoy,65.9667,78.3667,-3.28,80,6,3.31,RU,1682483644
3,saint-leu,-21.15,55.2833,27.75,85,8,2.91,RE,1682483645
4,fuerte olimpo,-21.0415,-57.8738,20.9,98,47,1.36,PY,1682483645
5,badger,64.8,-147.5333,3.95,42,75,4.63,US,1682483647
6,aasiaat,68.7098,-52.8699,-0.28,99,100,2.98,GL,1682483537
7,polyarnyy,69.1989,33.4478,-2.92,81,75,1.33,RU,1682483648
8,woolgoolga,-30.1106,153.2007,21.93,58,81,5.32,AU,1682483649
9,blackmans bay,-43.0167,147.3167,22.51,46,4,2.21,AU,1682483512
10,port-aux-francais,-49.35,70.2167,6.79,95,95,10.08,TF,1682483544
11,vila velha,-20.3297,-40.2925,22.19,97,75,1.54,BR,1682483650
12,adamstown,-25.066,-130.1015,24.75,72,5,4.87,PN,1682483524
13,iskateley,67.6803,53.1512,-3.38,92,10,5.25,RU,1682483652
14,ashland,40.8167,-82.2665,4.53,94,100,1.97,US,1682483653
15,utrik,11.2278,169.8474,27.06,80,90,9.72,MH,1682483654
16,port alfred,-33.5906,26.891,20.1,97,84,0.45,ZA,1682483654
17,berezovyy,51.6667,135.7,4.41,72,100,0.97,RU,1682483655
18,nar'yan-mar,67.6713,53.087,-3.31,92,10,5.26,RU,1682483656
19,tsiombe,-25.3,45.4833,21.07,65,9,0.44,MG,1682483657
20,east london,-33.0153,27.9116,21.52,94,100,2.57,ZA,1682483657
21,mata-utu,-13.2816,-176.1745,28.08,75,71,3.14,WF,1682483658
22,lihue,21.9789,-159.3672,25.58,74,75,5.66,US,1682483512
23,vadso,70.0744,29.7487,-0.91,74,0,3.09,NO,1682483659
24,buala,-8.145,159.5921,28.4,77,76,1.84,SB,1682483660
25,grytviken,-54.2811,-36.5092,1.68,86,52,6.68,GS,1682483540
26,yellowknife,62.456,-114.3525,1.29,100,100,3.6,CA,1682483513
27,six-fours-les-plages,43.0938,5.84,14.69,29,43,0.89,FR,1682483662
28,ngama,11.7833,17.1667,28.84,22,45,2.19,TD,1682483663
29,veraval,20.9,70.3667,30.05,55,26,4.24,IN,1682483663
30,albany,42.6001,-73.9662,4.34,81,1,0.89,US,1682483372
31,edinburgh of the seven seas,-37.0676,-12.3116,15.06,66,83,12.4,SH,1682483665
32,zaoyang,32.1272,112.7542,23.63,46,58,5.04,CN,1682483665
33,isla del bosque,22.7333,-105.85,21.08,75,88,0.92,MX,1682483666
34,i-n-salah,27.1935,2.4607,24.03,19,0,5.53,DZ,1682483667
35,tura,25.5198,90.2201,33.41,23,58,2.72,IN,1682483667
36,papatowai,-46.5619,169.4708,12.57,69,92,5.97,NZ,1682483668
37,derventa,44.9772,17.9103,7.86,89,100,2.37,BA,1682483669
38,pudasjarvi,65.3833,26.9167,1.2,100,100,4.38,FI,1682483670
39,thompson,55.7435,-97.8558,3.09,44,40,1.54,CA,1682483518
40,waitangi,-43.9535,-176.5597,9.9,79,77,1.79,NZ,1682483553
41,whitehorse,60.7161,-135.0538,2.43,40,100,4.47,CA,1682483488
42,tiksi,71.6872,128.8694,-8.47,88,93,1.77,RU,1682483672
43,talnakh,69.4865,88.3972,-0.44,96,100,2.13,RU,1682483522
44,tidjikja,18.5564,-11.4271,28.7,12,2,4.64,MR,1682483674
45,fort irwin,35.2627,-116.6848,21.9,10,0,3.6,US,1682483674
46,west island,-12.1568,96.8225,28.99,74,75,8.23,CC,1682483675
47,kodiak,57.79,-152.4072,2.73,93,100,3.09,US,1682483529
48,ilulissat,69.2167,-51.1,0.01,100,100,4.63,GL,1682483560
49,sarandi,-23.4436,-51.8739,16.75,100,40,3.09,BR,1682483520
50,port mathurin,-19.6833,63.4167,25.99,81,9,7.19,MU,1682483563
51,soe,-9.8607,124.284,24.61,74,69,3.78,ID,1682483678
52,hamilton,39.1834,-84.5333,11.52,70,100,0.0,US,1682483516
53,kulhudhuffushi,6.6221,73.07,29.04,69,56,3.37,MV,1682483679
54,malango,-2.9627,119.9001,26.68,78,76,0.81,ID,1682483680
55,gazojak,41.1875,61.4036,23.49,18,36,9.68,TM,1682483680
56,fort st. john,56.2499,-120.8529,1.94,75,75,1.03,CA,1682483546
57,bredasdorp,-34.5322,20.0403,13.34,91,92,1.3,ZA,1682483682
58,sumbawa besar,-8.5,117.4333,29.76,82,83,2.47,ID,1682483682
59,avarua,-21.2078,-159.775,26.03,69,100,2.57,CK,1682483518
60,nili,33.7218,66.1302,18.29,26,33,1.47,AF,1682483684
61,ixtapa,20.7,-105.2,23.57,83,40,1.54,MX,1682483685
62,tadine,-21.55,167.8833,25.58,75,100,2.84,NC,1682483685
63,haiku-pauwela,20.9219,-156.3051,23.91,84,75,5.14,US,1682483686
64,olonkinbyen,70.9221,-8.7187,-3.46,70,100,5.36,SJ,1682483687
65,pontevedra,42.431,-8.6444,16.19,95,100,1.18,ES,1682483687
66,orange walk,17.8333,-88.8333,22.95,95,73,1.35,BZ,1682483688
67,balkh,36.75,67.0,30.14,17,0,3.08,AF,1682483689
68,bilibino,68.0546,166.4372,-1.32,73,1,0.82,RU,1682483545
69,papao,-17.75,-149.55,27.59,81,100,4.85,PF,1682483690
70,mangaratiba,-22.9597,-44.0406,20.48,82,5,1.88,BR,1682483691
71,orchard homes,46.8633,-114.0484,9.08,53,0,2.06,US,1682483692
72,zouerate,22.7187,-12.4521,28.17,15,1,4.15,MR,1682483692
73,labrador city,52.9463,-66.9114,-2.05,80,0,2.06,CA,1682483693
